person_id,algae2100_ith_residence,algae2101_geocode,algae2102_date_state,algae2103_start_date,algae2104_end_date,algae2105_duration,algae2106_ith_residence_type,algae2107_has_valid_geocode,algae2108_has_exposures,algae2109_is_out_of_bounds,algae2110_,algae2111_max_stage_over_lap,algae2112_fit_extent,algae2113_adj_start_date,algae2114_adj_end_date,algae2115_days_changed,algae2116_fit_type,algae2117_start_date_delta1,algae2118_start_date_delta2,algae2119_end_date_delta1,algae2120_end_date_delta2,algae2121_previous_geocode,algae2122_next_geocode,algae2123_fin_adj_start_date,algae2124_imputed_first_start,algae2125_fin_adj_end_date,algae2126_imputed_last_end,algae2127_start_date_days_from_concep,algae2128_is_within_exp,algae2129_has_bad_geocode_within_exp
early_many_moves,1,a1,no_imputation,1992-03-10,1992-05-10,62,first,Y,Y,N,67.3913043478260870,N,0,1992-03-10,1992-05-10,0,C,,,,,,a2,1992-03-03,Y,1992-05-10,N,,Y,N
early_many_moves,2,a2,no_imputation,1992-05-11,1992-08-10,92,middle,Y,Y,N,75.0000000000000000,N,0,1992-05-11,1992-08-10,0,C,,,,,a1,a3,1992-05-11,N,1992-08-10,N,70,Y,N
early_many_moves,3,a3,no_imputation,1992-08-11,1992-10-10,61,middle,Y,Y,N,50.0000000000000000,N,0,1992-08-11,1992-10-10,0,C,,,,,a2,a4,1992-08-11,N,1992-10-10,N,162,Y,N
early_many_moves,4,a4,no_imputation,1992-10-11,1993-01-09,91,middle,Y,Y,N,50.0000000000000000,N,0,1992-10-11,1993-01-09,0,C,,,,,a3,a5,1992-10-11,N,1993-01-09,N,223,Y,N
early_many_moves,5,a5,no_imputation,1993-01-10,2015-10-11,8310,last,Y,Y,N,85.4794520547945205,N,0,1993-01-10,2015-10-11,0,C,,,,,a4,,1993-01-10,N,2015-10-11,N,314,Y,N
early_many_moves_with_err,1,a1,no_imputation,1992-03-10,1992-05-10,62,first,Y,Y,N,67.3913043478260870,N,0,1992-03-10,1992-05-10,0,C,,,,,,a2,1992-03-03,Y,1992-05-10,N,,Y,N
early_many_moves_with_err,2,a2,no_imputation,1992-05-12,1992-08-13,94,middle,Y,Y,N,78.2608695652173913,N,1,1992-05-11,1992-08-10,4,B,1992-05-11,1992-05-11,1992-08-11,1992-08-13,a1,a3,1992-05-11,N,1992-08-10,N,70,Y,N
early_many_moves_with_err,3,a3,no_imputation,1992-08-11,1992-10-10,61,middle,Y,Y,N,50.0000000000000000,N,-3,1992-08-11,1992-10-10,0,C,,,,,a2,a4,1992-08-11,N,1992-10-10,N,162,Y,N
early_many_moves_with_err,4,a4,no_imputation,1992-10-15,1993-01-09,87,middle,Y,Y,N,44.7368421052631579,N,4,1992-10-11,1993-01-09,4,G,1992-10-11,1992-10-14,,,a3,a5,1992-10-11,N,1993-01-09,N,223,Y,N
early_many_moves_with_err,5,a5,no_imputation,1993-01-15,2015-10-11,8305,last,Y,Y,N,84.1095890410958904,N,5,1993-01-10,2015-10-11,5,G,1993-01-10,1993-01-14,,,a4,,1993-01-10,N,2015-10-11,N,314,Y,N
early_many_overlaps,1,a1,no_imputation,1992-03-10,1992-05-05,57,first,Y,Y,N,61.9565217391304348,N,0,1992-03-10,1992-05-02,3,O,,,1992-05-03,1992-05-05,,a2,1992-03-03,Y,1992-05-02,N,,Y,N
early_many_overlaps,2,a2,no_imputation,1992-05-03,1992-05-06,4,middle,Y,Y,N,4.3478260869565217,N,-3,1992-05-03,1992-05-03,3,O,,,1992-05-04,1992-05-06,a1,a3,1992-05-03,N,1992-05-03,N,62,Y,N
early_many_overlaps,3,a3,no_imputation,1992-05-04,2015-01-01,8278,last,Y,Y,N,100.0000000000000000,N,-3,1992-05-04,2015-01-01,0,C,,,,,a2,,1992-05-04,N,2015-01-01,N,63,Y,N
early_no_moves,1,a1,no_imputation,1992-03-03,2015-01-01,8340,only,Y,Y,N,100.0000000000000000,N,0,1992-03-03,2015-01-01,0,C,,,,,,,1992-03-03,N,2015-01-01,N,,Y,N
missing_exposure_days,1,a8,no_imputation,1992-03-03,2015-01-01,8340,only,Y,Y,N,100.0000000000000000,N,0,1992-03-03,2015-01-01,0,C,,,,,,,1992-03-03,N,2015-01-01,N,,Y,N
