person_id,aglae4600_life_stage,aglae4601_name_sum_percent_err,aglae4602_name_avg_percent_err,aglae4603_name_med_percent_err,aglae4604_nox_rd_sum_percent_err,aglae4605_nox_rd_avg_percent_err,aglae4606_nox_rd_med_percent_err,aglae4607_pm10_gr_sum_percent_err,aglae4608_pm10_gr_avg_percent_err,aglae4609_pm10_gr_med_percent_err,aglae4610_pm10_rd_sum_percent_err,aglae4611_pm10_rd_avg_percent_err,aglae4612_pm10_rd_med_percent_err,aglae4613_pm10_tot_sum_percent_err,aglae4614_pm10_tot_avg_percent_err,aglae4615_pm10_tot_med_diff
early_many_moves,T1,225,225,225,450,450,450,300,300,300,900,900,900,180,180,180
early_many_moves,T2,116.666666666667,116.666666666667,116.666666666667,175,175,175,140,140,140,233.333333333333,233.333333333333,233.333333333333,100,100,100
early_many_moves,T3,44.4444444444444,44.4444444444444,44.4444444444444,57.1428571428571,57.1428571428571,57.1428571428571,50,50,50,66.6666666666667,66.6666666666667,66.6666666666667,40,40,40
early_many_moves,EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early_many_moves_with_err,T1,225,225,225,450,450,450,300,300,300,900,900,900,180,180,180
early_many_moves_with_err,T2,116.666666666667,116.666666666667,116.666666666667,175,175,175,140,140,140,233.333333333333,233.333333333333,233.333333333333,100,100,100
early_many_moves_with_err,T3,44.4444444444444,44.4444444444444,44.4444444444444,57.1428571428571,57.1428571428571,57.1428571428571,50,50,50,66.6666666666667,66.6666666666667,66.6666666666667,40,40,40
early_many_moves_with_err,EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early_many_overlaps,T1,125,125,125,250,250,250,166.666666666667,166.666666666667,166.666666666667,500,500,500,100,100,100
early_many_overlaps,T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early_many_overlaps,T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early_many_overlaps,EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early_no_moves,T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early_no_moves,T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early_no_moves,T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early_no_moves,EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_exposure_days,T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_exposure_days,T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_exposure_days,T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missing_exposure_days,EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
