algae2200_original_row_number,algae2201_person_id,algae2202_ith_residence,algae2203_geocode,algae2204_date_state,algae2205_start_date,algae2206_end_date,algae2207_duration,algae2208_ith_residence_type,algae2209_has_valid_geocode,algae2210_name_exposures,algae2211_nox_rd_exposures,algae2212_pm10_gr_exposures,algae2213_pm10_rd_exposures,algae2214_pm10_tot_exposures,algae2215_max_life_stage_overlap,algae2216_is_fixed_inv_geocode,algae2217_fit_extent,algae2218_adj_start_date,algae2219_adj_end_date,algae2220_days_changed,algae2221_fit_type,algae2222_start_date_delta1,algae2223_start_date_delta2,algae2224_end_date_delta1,algae2225_end_date_delta2,algae2226_previous_geocode,algae2227_next_geocode,algae2228_fin_adj_start_date,algae2229_imputed_first_start,algae2230_fin_adj_end_date,algae2231_imputed_last_end,algae2232_start_date_days_from_concep,algae2233_is_within_exp
2,late_many_moves,1,a1,no_imputation,1992-03-10,1994-05-18,800,first,Y,Y,Y,Y,Y,Y,100.0000000000000000,N,0,1992-03-10,1994-05-18,0,C,,,,,,a2,1992-03-03,Y,1994-05-18,N,,Y
3,late_many_moves,2,a2,no_imputation,1994-05-19,1994-11-18,184,middle,Y,Y,Y,Y,Y,Y,50.1369863013698630,N,0,1994-05-19,1994-11-18,0,C,,,,,a1,a3,1994-05-19,N,1994-11-18,N,808,Y
4,late_many_moves,3,a3,no_imputation,1994-11-19,1995-02-19,93,middle,Y,Y,Y,Y,Y,Y,25.4794520547945205,N,0,1994-11-19,1995-02-19,0,C,,,,,a2,a4,1994-11-19,N,1995-02-19,N,992,Y
5,late_many_moves,4,a4,no_imputation,1995-02-20,1996-02-20,366,middle,Y,Y,Y,Y,Y,Y,74.2465753424657534,N,0,1995-02-20,1996-02-20,0,C,,,,,a3,a5,1995-02-20,N,1996-02-20,N,1085,Y
6,late_many_moves,5,a5,no_imputation,1996-02-21,2010-01-01,5064,middle,Y,Y,Y,Y,Y,Y,100.0000000000000000,N,0,1996-02-21,2010-01-01,0,C,,,,,a4,a6,1996-02-21,N,2010-01-01,N,1451,Y
7,late_many_moves,6,a6,no_imputation,2010-01-02,2015-01-01,1826,last,Y,Y,Y,Y,Y,Y,0.00000000000000000000,N,0,2010-01-02,2015-01-01,0,C,,,,,a5,,2010-01-02,N,2015-01-01,N,6515,N
8,late_many_moves_with_err,1,a1,no_imputation,1992-03-10,1994-08-18,892,first,Y,Y,Y,Y,Y,Y,100.0000000000000000,N,0,1992-03-10,1994-05-18,92,O,,,1994-05-19,1994-08-18,,a2,1992-03-03,Y,1994-05-18,N,,Y
9,late_many_moves_with_err,2,a2,no_imputation,1994-05-19,1994-11-18,184,middle,Y,Y,Y,Y,Y,Y,50.1369863013698630,N,-92,1994-05-19,1994-11-18,0,C,,,,,a1,a3,1994-05-19,N,1994-11-18,N,808,Y
10,late_many_moves_with_err,3,a3,no_imputation,1995-01-18,1995-02-19,33,middle,Y,Y,Y,Y,Y,Y,9.0410958904109589,N,60,1994-11-19,1995-02-19,60,G,1994-11-19,1995-01-17,,,a2,a4,1994-11-19,N,1995-02-19,N,992,Y
11,late_many_moves_with_err,4,a4,no_imputation,1995-03-19,1996-05-20,429,middle,Y,Y,Y,Y,Y,Y,66.8493150684931507,N,27,1995-02-20,1996-02-20,117,B,1995-02-20,1995-03-18,1996-02-21,1996-05-20,a3,a5,1995-02-20,N,1996-02-20,N,1085,Y
12,late_many_moves_with_err,5,a5,no_imputation,1996-02-21,2010-01-01,5064,middle,Y,Y,Y,Y,Y,Y,100.0000000000000000,N,-90,1996-02-21,2010-01-01,0,C,,,,,a4,a6,1996-02-21,N,2010-01-01,N,1451,Y
13,late_many_moves_with_err,6,a6,no_imputation,2010-04-01,2015-01-01,1737,last,Y,Y,Y,Y,Y,Y,0.00000000000000000000,N,89,2010-01-02,2015-01-01,89,G,2010-01-02,2010-03-31,,,a5,,2010-01-02,N,2015-01-01,N,6515,N
14,late_many_overlaps,1,a1,no_imputation,1992-03-10,1995-05-25,1172,first,Y,Y,Y,Y,Y,Y,100.0000000000000000,N,0,1992-03-10,1995-05-09,16,O,,,1995-05-10,1995-05-25,,a2,1992-03-03,Y,1995-05-09,N,,Y
15,late_many_overlaps,2,a2,no_imputation,1995-05-10,1995-05-20,11,middle,Y,Y,Y,Y,Y,Y,3.0136986301369863,N,-16,1995-05-10,1995-05-14,6,O,,,1995-05-15,1995-05-20,a1,a3,1995-05-10,N,1995-05-14,N,1164,Y
16,late_many_overlaps,3,a3,no_imputation,1995-05-15,2015-01-01,7172,last,Y,Y,Y,Y,Y,Y,100.0000000000000000,N,-6,1995-05-15,2015-01-01,0,C,,,,,a2,,1995-05-15,N,2015-01-01,N,1169,Y
1,late_no_moves,1,a1,no_imputation,1992-03-10,2015-01-01,8333,only,Y,Y,Y,Y,Y,Y,100.0000000000000000,N,0,1992-03-10,2015-01-01,0,C,,,,,,,1992-03-03,Y,2015-01-01,N,,Y
